OBJECTID,SiteID,DamageID1,ConfidenceID,SensorDate,SensorID,Settlement_Name,DamageCause,DatePeriod,CountyID,Shape_Length,Shape_Area,Lat,Long,DatePeriodStart,DatePeriodEnd,Start Dt,End Dt,Radius (m)
410,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001266334,1.28E-07,36.22523241,37.20808896,2/6/14,2/20/14,98,112,24.86162678
411,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000885678,6.24E-08,36.22858691,37.20473571,2/6/14,2/20/14,98,112,17.3886853
412,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000885472,6.24E-08,36.19757189,37.1910248,2/6/14,2/20/14,98,112,17.38116045
413,Industrial Facility,Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000959,7.32E-08,36.1948189,37.19740591,2/6/14,2/20/14,98,112,18.82415794
414,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001334993,1.42E-07,36.19766843,37.18218228,2/6/14,2/20/14,98,112,26.20495166
415,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000913416,6.64E-08,36.19799157,37.18294215,2/6/14,2/20/14,98,112,17.92969289
416,Industrial Facility,Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001039227,8.59E-08,36.20142406,37.18811754,2/6/14,2/20/14,98,112,20.39980344
417,Building (General / Default),Destroyed (bld),Very High,1/31/2014,Pleadies 1A/B,Aleppo,Artillery (Mortar / Howitzer),31OCT13-31JAN14,760,0.000949492,7.17E-08,36.20448029,37.18221062,10/31/13,1/31/14,0,92,18.63867569
418,Building (General / Default),Destroyed (bld),Very High,2/6/2014,Worldview-2,Aleppo,Air Strike / Missile (SSM),31JAN14-6FEB14,760,0.00122736,1.20E-07,36.20037558,37.1836838,1/31/14,2/6/14,92,98,24.09261315
419,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000659268,3.46E-08,36.20110923,37.19786598,2/6/14,2/20/14,98,112,12.94123519
420,Building (General / Default),Destroyed (bld),Very High,1/31/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),31OCT13-31JAN14,760,0.000974923,7.56E-08,36.20229194,37.19828709,10/31/13,1/31/14,0,92,19.1375899
421,Building (General / Default),Destroyed (bld),Very High,1/31/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),31OCT13-31JAN14,760,0.001272548,1.29E-07,36.19752149,37.19791298,10/31/13,1/31/14,0,92,24.97920299
422,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000844397,5.67E-08,36.23148729,37.1945695,2/6/14,2/20/14,98,112,16.57851683
423,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000784574,4.90E-08,36.22133828,37.19966193,2/6/14,2/20/14,98,112,15.40296445
424,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.00078457,4.90E-08,36.21952671,37.19706936,2/6/14,2/20/14,98,112,15.40269579
425,Building (General / Default),Destroyed (bld),Very High,1/31/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),31OCT13-31JAN14,760,0.000961734,7.36E-08,36.21897126,37.20245086,10/31/13,1/31/14,0,92,18.8807209
426,Building (General / Default),Destroyed (bld),Medium,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001028572,8.42E-08,36.21296086,37.20485819,2/6/14,2/20/14,98,112,20.19207653
427,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000746122,4.43E-08,36.20958491,37.17600347,2/6/14,2/20/14,98,112,14.64695286
428,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Artillery (Mortar / Howitzer),6FEB14-20FEB14,760,0.000759715,4.59E-08,36.20520102,37.17856548,2/6/14,2/20/14,98,112,14.91337831
429,Mosque,Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Artillery (Mortar / Howitzer),Before 31OCT13,760,0.000811779,5.24E-08,36.21594803,37.17463739,1/1/01,10/31/13,-4686,0,15.93650343
430,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.002192102,3.82E-07,36.2047783,37.17921412,1/1/01,10/31/13,-4686,0,43.06751472
431,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Unknown / Uncertain,Before 31OCT13,760,0.001000556,7.97E-08,36.21234981,37.17892243,1/1/01,10/31/13,-4686,0,19.64206454
432,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.000952187,7.21E-08,36.2081944,37.17385766,1/1/01,10/31/13,-4686,0,18.69196801
